2024-09-07 18:06:28,366 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,372 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"oujXh","age":51,"sex":"MALE","zipCode":"12345"}]
2024-09-07 18:06:28,373 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 18:06:28,377 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 18:06:28,377 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 18:06:28,377 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":4,"name":"oujXh","sex":"MALE","zipCode":"23456"}
2024-09-07 18:06:28,388 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: BadRequest, Response Body: {"ts":1725732388381,"message":"Users must be unique for complex key name+sex"}
2024-09-07 18:06:28,388 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,394 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"oujXh","age":51,"sex":"MALE","zipCode":"12345"}]
