2024-09-07 19:00:38,377 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 19:00:38,380 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"Fvcgw","age":27,"sex":"MALE","zipCode":"12345"}]
2024-09-07 19:00:38,380 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 19:00:38,384 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 19:00:38,384 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 19:00:38,384 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":9,"name":"Fvcgw","sex":"MALE","zipCode":"23456"}
2024-09-07 19:00:38,392 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: BadRequest, Response Body: {"ts":1725735638386,"message":"Users must be unique for complex key name+sex"}
2024-09-07 19:00:38,392 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 19:00:38,395 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"Fvcgw","age":27,"sex":"MALE","zipCode":"12345"}]
