2024-09-07 17:58:08,199 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:58:08,204 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"gYNAH","age":20,"sex":"MALE","zipCode":"12345"},{"name":"Nxnso","age":40,"sex":"MALE","zipCode":"23456"},{"name":"vJtcf","age":31,"sex":"MALE","zipCode":"ABCDE"}]
2024-09-07 17:58:08,205 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Delete request to /users is created
2024-09-07 17:58:08,205 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":20,"name":"gYNAH","sex":"MALE","zipCode":"12345"}
2024-09-07 17:58:08,207 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: NoContent, Response Body: 
2024-09-07 17:58:08,207 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:58:08,210 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345"]
2024-09-07 17:58:08,210 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:58:08,212 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"Nxnso","age":40,"sex":"MALE","zipCode":"23456"},{"name":"vJtcf","age":31,"sex":"MALE","zipCode":"ABCDE"}]
