2024-09-07 17:39:39,617 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:39:39,623 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"ZVlxF","age":23,"sex":"MALE","zipCode":"12345"},{"name":"VmOcO","age":36,"sex":"MALE","zipCode":"23456"},{"name":"rrLKx","age":37,"sex":"MALE","zipCode":"ABCDE"}]
2024-09-07 17:39:39,623 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Delete request to /users is created
2024-09-07 17:39:39,623 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":23,"name":"ZVlxF","sex":"MALE","zipCode":"12345"}
2024-09-07 17:39:39,625 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: NoContent, Response Body: 
2024-09-07 17:39:39,625 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:39:39,627 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345"]
2024-09-07 17:39:39,627 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:39:39,629 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"VmOcO","age":36,"sex":"MALE","zipCode":"23456"},{"name":"rrLKx","age":37,"sex":"MALE","zipCode":"ABCDE"}]
