2024-09-07 15:40:22,049 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,054 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"axFdc","age":41,"sex":"MALE","zipCode":"12345"}]
2024-09-07 15:40:22,054 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:40:22,058 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 15:40:22,059 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 15:40:22,059 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":1,"name":"axFdc","sex":"MALE","zipCode":"23456"}
2024-09-07 15:40:22,070 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: BadRequest, Response Body: {"ts":1725723622063,"message":"Users must be unique for complex key name+sex"}
2024-09-07 15:40:22,070 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,074 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"axFdc","age":41,"sex":"MALE","zipCode":"12345"}]
