2024-09-07 15:40:22,454 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,457 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"uhOkq","age":55,"sex":"MALE","zipCode":"12345"},{"name":"hvjmZ","age":46,"sex":"MALE","zipCode":"23456"},{"name":"YDQDM","age":17,"sex":"MALE","zipCode":"ABCDE"}]
2024-09-07 15:40:22,457 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Delete request to /users is created
2024-09-07 15:40:22,457 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":55,"name":"uhOkq","sex":"MALE","zipCode":"12345"}
2024-09-07 15:40:22,461 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: NoContent, Response Body: 
2024-09-07 15:40:22,461 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:40:22,465 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345"]
2024-09-07 15:40:22,465 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,467 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"hvjmZ","age":46,"sex":"MALE","zipCode":"23456"},{"name":"YDQDM","age":17,"sex":"MALE","zipCode":"ABCDE"}]
