2024-09-07 17:51:31,987 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:31,996 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"mNTqD","age":16,"sex":"MALE","zipCode":"12345"}]
2024-09-07 17:51:31,997 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:51:32,000 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 17:51:32,000 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users is created
2024-09-07 17:51:32,000 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":0,"name":"mNTqD","sex":"MALE","zipCode":"23456"}
2024-09-07 17:51:32,007 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: BadRequest, Response Body: {"ts":1725731492003,"message":"Users must be unique for complex key name+sex"}
2024-09-07 17:51:32,008 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,011 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"mNTqD","age":16,"sex":"MALE","zipCode":"12345"}]
