2024-09-07 17:51:32,246 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,248 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"mBFsj","age":45,"sex":"FEMALE","zipCode":"ABCDE"}]
2024-09-07 17:51:32,248 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Delete request to /users is created
2024-09-07 17:51:32,249 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: "{ \"age\": \"45\", \"sex\": \"FEMALE\", \"zipCode\": \"ABCDE\" }"
2024-09-07 17:51:32,253 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: Conflict, Response Body: {"ts":1725731492251,"message":"Some required fields are missed"}
2024-09-07 17:51:32,253 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:51:32,256 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456"]
2024-09-07 17:51:32,256 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,258 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"mBFsj","age":45,"sex":"FEMALE","zipCode":"ABCDE"}]
