2024-09-07 17:51:32,293 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,297 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"nsBtq","age":42,"sex":"MALE","zipCode":"12345"},{"name":"qRoOZ","age":8,"sex":"MALE","zipCode":"23456"},{"name":"gXOio","age":39,"sex":"MALE","zipCode":"ABCDE"}]
2024-09-07 17:51:32,297 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Delete request to /users is created
2024-09-07 17:51:32,297 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"age":42,"name":"nsBtq","sex":"MALE","zipCode":"12345"}
2024-09-07 17:51:32,300 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: NoContent, Response Body: 
2024-09-07 17:51:32,300 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:51:32,302 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345"]
2024-09-07 17:51:32,302 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,305 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"qRoOZ","age":8,"sex":"MALE","zipCode":"23456"},{"name":"gXOio","age":39,"sex":"MALE","zipCode":"ABCDE"}]
